"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","783","test_create_for_all_process[docremotesite-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:20:58 MSK 2025","passed","Tue Apr 08 12:20:58 MSK 2025","TestCreate","create_tests","",""
"","650","test_create_for_all_process[docremotesite-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:20:58 MSK 2025","passed","Tue Apr 08 12:20:59 MSK 2025","TestCreate","create_tests","",""
"","992","test_create_for_all_process[EFD.App.Works-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:12 MSK 2025","passed","Tue Apr 08 12:21:13 MSK 2025","TestCreate","create_tests","",""
"","981","test_create_for_all_process[EFD.App.Works-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:13 MSK 2025","passed","Tue Apr 08 12:21:14 MSK 2025","TestCreate","create_tests","",""
"","652","test_create_for_all_process[remotemvno-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:20:59 MSK 2025","passed","Tue Apr 08 12:21:00 MSK 2025","TestCreate","create_tests","",""
"","967","test_create_for_all_process[EFD.App.Equip.Property-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:06 MSK 2025","passed","Tue Apr 08 12:21:07 MSK 2025","TestCreate","create_tests","",""
"","978","test_create_for_all_process[EFD.App.Services-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:11 MSK 2025","passed","Tue Apr 08 12:21:12 MSK 2025","TestCreate","create_tests","",""
"","976","test_create_for_all_process[EFD.App.Equip.Rent-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:09 MSK 2025","passed","Tue Apr 08 12:21:10 MSK 2025","TestCreate","create_tests","",""
"","1004","test_create_for_all_process[remotesite-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:01 MSK 2025","passed","Tue Apr 08 12:21:02 MSK 2025","TestCreate","create_tests","",""
"","985","test_create_for_all_process[EFD.Contract-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:14 MSK 2025","passed","Tue Apr 08 12:21:15 MSK 2025","TestCreate","create_tests","",""
"","1005","test_create_for_all_process[EFD.App.Equip.Property-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:07 MSK 2025","passed","Tue Apr 08 12:21:08 MSK 2025","TestCreate","create_tests","",""
"","903","test_create_for_all_process[remotemvno-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:00 MSK 2025","passed","Tue Apr 08 12:21:01 MSK 2025","TestCreate","create_tests","",""
"","1773","test_create_for_all_process[EFD.App.Services-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:10 MSK 2025","passed","Tue Apr 08 12:21:11 MSK 2025","TestCreate","create_tests","",""
"","983","test_create_for_all_process[remoteSiteAct-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:03 MSK 2025","passed","Tue Apr 08 12:21:04 MSK 2025","TestCreate","create_tests","",""
"","990","test_create_for_all_process[EFD.Contract-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:15 MSK 2025","passed","Tue Apr 08 12:21:16 MSK 2025","TestCreate","create_tests","",""
"","1720","test_create_for_all_process[remotesite-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:02 MSK 2025","passed","Tue Apr 08 12:21:03 MSK 2025","TestCreate","create_tests","",""
"","957","test_create_for_all_process[EFD.App.Equip.Rent-SIGNING_DOCUMENTS_WRAPPER-CRM_MOSCOW_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:08 MSK 2025","passed","Tue Apr 08 12:21:09 MSK 2025","TestCreate","create_tests","",""
"","1214","test_create_for_all_process[remoteSiteAct-SIGNING_DOCUMENTS_WRAPPER-CRM_CENTER_V3]","tests.SIGNING_DOCUMENT_WRAPPER","Tue Apr 08 12:21:04 MSK 2025","passed","Tue Apr 08 12:21:06 MSK 2025","TestCreate","create_tests","",""
